Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point,Settlement Point Type,Settlement Point Price
01/01/2015,19,3,N,HB_BUSAVG,SH,28.6
01/01/2015,19,4,N,HB_BUSAVG,SH,28.46
01/01/2015,20,1,N,HB_BUSAVG,SH,28.0
01/01/2015,20,2,N,HB_BUSAVG,SH,27.59
01/01/2015,20,3,N,HB_BUSAVG,SH,27.43
01/01/2015,20,4,N,HB_BUSAVG,SH,27.4
01/01/2015,21,1,N,HB_BUSAVG,SH,27.67
01/01/2015,21,2,N,HB_BUSAVG,SH,27.91
01/01/2015,21,3,N,HB_BUSAVG,SH,27.47
01/01/2015,21,4,N,HB_BUSAVG,SH,26.77
01/01/2015,22,1,N,HB_BUSAVG,SH,26.31
01/01/2015,22,2,N,HB_BUSAVG,SH,26.08
01/01/2015,22,3,N,HB_BUSAVG,SH,25.09
01/01/2015,22,4,N,HB_BUSAVG,SH,24.27
01/01/2015,23,1,N,HB_BUSAVG,SH,24.76
01/01/2015,23,2,N,HB_BUSAVG,SH,24.45
01/01/2015,23,3,N,HB_BUSAVG,SH,24.21
01/01/2015,23,4,N,HB_BUSAVG,SH,23.86
01/01/2015,24,1,N,HB_BUSAVG,SH,23.48
01/01/2015,24,2,N,HB_BUSAVG,SH,23.08
01/01/2015,24,3,N,HB_BUSAVG,SH,22.53
01/01/2015,24,4,N,HB_BUSAVG,SH,22.35
01/01/2016,1,1,N,HB_BUSAVG,SH,15.48
01/01/2016,1,2,N,HB_BUSAVG,SH,15.33
01/01/2016,1,3,N,HB_BUSAVG,SH,15.5
01/01/2016,1,4,N,HB_BUSAVG,SH,15.5
01/01/2016,2,1,N,HB_BUSAVG,SH,15.39
01/01/2016,2,2,N,HB_BUSAVG,SH,15.21
01/01/2016,2,3,N,HB_BUSAVG,SH,15.21
01/01/2016,2,4,N,HB_BUSAVG,SH,15.12
01/01/2016,3,1,N,HB_BUSAVG,SH,15.11
01/01/2016,3,2,N,HB_BUSAVG,SH,14.97
01/01/2016,3,3,N,HB_BUSAVG,SH,14.99
01/01/2016,3,4,N,HB_BUSAVG,SH,15.07
01/01/2016,4,1,N,HB_BUSAVG,SH,15.06
01/01/2016,4,2,N,HB_BUSAVG,SH,14.94
01/01/2016,4,3,N,HB_BUSAVG,SH,14.95
01/01/2016,4,4,N,HB_BUSAVG,SH,15.06
01/01/2016,5,1,N,HB_BUSAVG,SH,15.27
01/01/2016,5,2,N,HB_BUSAVG,SH,15.34
01/01/2016,5,3,N,HB_BUSAVG,SH,15.4
01/01/2016,5,4,N,HB_BUSAVG,SH,15.37
01/01/2016,6,1,N,HB_BUSAVG,SH,15.58
01/01/2016,6,2,N,HB_BUSAVG,SH,15.4
01/01/2016,6,3,N,HB_BUSAVG,SH,15.52
01/01/2016,6,4,N,HB_BUSAVG,SH,15.53
01/01/2016,7,1,N,HB_BUSAVG,SH,15.68
01/01/2016,7,2,N,HB_BUSAVG,SH,15.85
01/01/2016,7,3,N,HB_BUSAVG,SH,16.09
01/01/2016,7,4,N,HB_BUSAVG,SH,16.37
01/01/2016,8,1,N,HB_BUSAVG,SH,16.63
01/01/2016,8,2,N,HB_BUSAVG,SH,16.66
01/01/2016,8,3,N,HB_BUSAVG,SH,16.71
01/01/2016,8,4,N,HB_BUSAVG,SH,16.83
01/01/2016,9,1,N,HB_BUSAVG,SH,16.86
01/01/2016,9,2,N,HB_BUSAVG,SH,16.98
01/01/2016,9,3,N,HB_BUSAVG,SH,17.04
01/01/2016,9,4,N,HB_BUSAVG,SH,17.02
01/01/2016,10,1,N,HB_BUSAVG,SH,17.04
01/01/2016,10,2,N,HB_BUSAVG,SH,17.07
01/01/2016,10,3,N,HB_BUSAVG,SH,17.2
01/01/2016,10,4,N,HB_BUSAVG,SH,17.42
01/01/2016,11,1,N,HB_BUSAVG,SH,17.56
01/01/2016,11,2,N,HB_BUSAVG,SH,17.65
01/01/2016,11,3,N,HB_BUSAVG,SH,17.41
01/01/2016,11,4,N,HB_BUSAVG,SH,17.47
01/01/2016,12,1,N,HB_BUSAVG,SH,17.33
01/01/2016,12,2,N,HB_BUSAVG,SH,16.84
01/01/2016,12,3,N,HB_BUSAVG,SH,17.03
01/01/2016,12,4,N,HB_BUSAVG,SH,17.1
01/01/2016,13,1,N,HB_BUSAVG,SH,17.27
01/01/2016,13,2,N,HB_BUSAVG,SH,17.33
01/01/2016,13,3,N,HB_BUSAVG,SH,17.34
01/01/2016,13,4,N,HB_BUSAVG,SH,17.4
01/01/2016,14,1,N,HB_BUSAVG,SH,17.49
01/01/2016,14,2,N,HB_BUSAVG,SH,17.55
01/01/2016,14,3,N,HB_BUSAVG,SH,17.52
01/01/2016,14,4,N,HB_BUSAVG,SH,17.57
01/01/2016,15,1,N,HB_BUSAVG,SH,17.5
01/01/2016,15,2,N,HB_BUSAVG,SH,17.57
01/01/2016,15,3,N,HB_BUSAVG,SH,17.5
01/01/2016,15,4,N,HB_BUSAVG,SH,17.5
01/01/2016,16,1,N,HB_BUSAVG,SH,17.51
01/01/2016,16,2,N,HB_BUSAVG,SH,17.51
01/01/2016,16,3,N,HB_BUSAVG,SH,17.51
01/01/2016,16,4,N,HB_BUSAVG,SH,17.5
01/01/2016,17,1,N,HB_BUSAVG,SH,17.5
01/01/2016,17,2,N,HB_BUSAVG,SH,17.51
01/01/2016,17,3,N,HB_BUSAVG,SH,17.57
01/01/2016,17,4,N,HB_BUSAVG,SH,17.86
01/01/2016,18,1,N,HB_BUSAVG,SH,19.38
01/01/2016,18,2,N,HB_BUSAVG,SH,20.23
